[302, 710]
[302, 710]
[302, 710]
[302, 710]
[290, 604]
[339, 258]
[471, 120]
[641, 146]
[827, 270]
[840, 440]
[746, 575]
[674, 605]
[592, 623]
[476, 620]
[377, 552]
[320, 324]
[571, 120]
[927, 132]
[1018, 225]
[1019, 358]
[1001, 396]
[997, 400]
[972, 426]
[752, 563]
[558, 643]
[458, 652]
[345, 582]
[293, 408]
[425, 239]
[622, 191]
[768, 363]
[798, 500]
[746, 564]
[467, 681]
[312, 689]
[250, 568]
[219, 379]
[242, 319]
[320, 282]
[435, 247]
[542, 232]
[623, 256]
[684, 308]
[717, 365]
[720, 407]
[709, 475]
[699, 498]
[645, 565]
[538, 600]
[459, 600]
